L1,L2,L3,L4,Position_X,Position_Y,Position_Z,Angle_X,Angle_Y,Angle_Z
461.166562907769,527.891485489875,330.211362697673,216.164268235857,-1.78346951342216,-1.10171323514223,0.498177962588847,-44.8559634496270,42.7729409024433,-36.8794402489892
434.281826204812,504.768004370993,336.214318945472,224.606688950779,-1.52114723765600,-1.05060328173700,0.496710654456271,-62.9131314180906,14.5505836006157,-0.788275657178517
407.947873711944,482.425327402894,344.759841771065,236.531444087585,-1.21521794150374,-1.05515312483493,0.495204229056942,-65.0672409859661,12.6100287250882,-0.992298618822735
382.268809755565,460.978085689188,355.671803327300,251.451640657038,-0.910284523291171,-1.06003354955119,0.494933644490682,-66.5379343003794,10.1116425794674,-1.10421627709039
357.373202790456,440.557238554412,368.746148420054,268.879328846329,-0.606208686172827,-1.06476846009063,0.495358282830468,-67.5080094448304,7.14211941937664,-0.970741278144913
333.421128670536,421.311212728859,383.766683944506,288.372220458261,-0.302821228831479,-1.06912050660436,0.496084470828953,-68.0978503784724,3.77266409548347,-0.592030088509166
310.612780882553,403.406258168542,400.518000944210,309.553658742767,3.87158992134573e-05,-1.07292502161882,0.496843683329171,-68.4113775454770,0.0671153252627766,-0.00467073759335511
269.737970702042,371.822991014362,437.493114048312,356.328216161601,0.607861407794292,-1.06468168898637,0.495189177402301,-67.6133417729009,-4.43490362882531,-0.638815937875161
252.204240183724,358.804476691863,457.897053226699,381.248092562635,0.912827150728445,-1.05965625637047,0.494750900122394,-67.0084205189640,-6.43110041875266,-1.23978223517821
237.167780893165,347.910593938207,479.373093460889,406.944031952324,1.21866697542025,-1.05396534496931,0.495189553571413,-66.3783430354666,-8.29842133593848,-2.20063289237552
225.108034483151,339.338263867843,501.789162022020,433.276365870587,1.52552232961844,-1.04695589313966,0.497051816426320,-66.0845392371776,-10.1514865557621,-3.99705479339891
216.501503401272,333.259434690729,525.029573486573,460.132160832594,1.77877263614878,-1.11163050823769,0.498596800245463,-42.2829211907264,-45.0071474544609,40.5817685971646
463.591583317841,517.387230914110,313.550450498036,220.586748049268,-1.78159784397991,-0.882209843517169,0.497894804077487,-38.3979382322172,50.7000831124870,-33.3419689623270
436.809996287053,493.721582593308,319.789807883433,228.899915701044,-1.49959780053299,-0.874447527453976,0.499280788218947,-34.8340281089858,30.3760239501899,-18.6688782024756
410.594343433504,470.810406474346,328.681942137529,240.643143285714,-1.21269571165203,-0.852212569697971,0.498231650828992,-46.9969489374889,14.0025194690166,-6.02966109834140
385.050288882269,448.769916895540,340.029247817458,255.353720110967,-0.909711722348625,-0.850280974280914,0.497473746007452,-51.2339334281492,10.4037544515387,-3.14877878492759
360.307572706596,427.734026009388,353.604628000461,272.563947151282,-0.606070935082160,-0.852158022401762,0.497424383251059,-53.1691034735164,7.25980815548605,-1.86861086802116
313.907488157687,389.309798422075,386.491251953699,312.832095987675,3.54118304798589e-05,-0.857938713686046,0.498187974421126,-54.5375749556151,0.0725077816356195,0.00310677990204302
292.821663729378,372.071174520626,404.941269749571,335.450244957605,0.303796921615223,-0.854972281007625,0.497703871349405,-54.1092051787942,-2.15178545905961,0.428389586110019
256.114215874120,343.031937430650,445.794303899856,384.011073518731,0.912849162382033,-0.850125952560201,0.497526766440971,-51.5188687636517,-6.05073715323125,1.79695530023543
241.281980154159,331.684330576186,467.868745220239,409.564435641168,1.21739491870314,-0.851350002297543,0.498643217468669,-47.9292607822629,-8.30945192654860,4.16931382209811
229.398777171049,322.747787308662,490.856303013832,435.767542201263,1.49563028068470,-0.885594812199392,0.499777979835268,-29.9213878175271,-32.3386586762849,21.7296761791720
220.918025807348,316.416456569261,514.640570033985,462.505826706327,1.78023361529256,-0.889190002534508,0.497816879382697,-35.8670355250218,-51.4025982758221,34.5541623712686
467.064493952114,507.660927351039,297.659781712325,227.023043369424,-1.78207667885480,-0.661074750018543,0.497744817794289,-30.3001982743018,55.9062895818282,-27.0255096362940
440.446017405147,483.468680625266,304.153107026535,235.145241191810,-1.49355183257981,-0.658966409508260,0.499316352551177,-25.4479206934859,39.6317008362009,-16.9119715954843
414.413610411346,460.003035705392,313.411014463718,246.626603554017,-1.20335551753469,-0.651820750812640,0.499477556517715,-28.4143844246890,23.6529512940243,-10.8025687398644
389.075154755814,437.381297603138,325.211317012111,261.036251154964,-0.906969591718571,-0.643089312932677,0.499022522369741,-34.8813966291531,13.3966068353621,-5.75323855559216
341.035920588038,395.236055444391,355.419758434001,296.909524545852,-0.302519504594088,-0.641725053899743,0.498883518050915,-39.9327119216829,4.27590392146310,-1.33813559114816
318.695474624923,376.050963963303,373.312692794246,317.609147790508,3.47552081765911e-05,-0.643758892703232,0.499106182543605,-40.4634230469338,0.0738365079220420,0.00908976854522051
297.895555872914,358.221667542399,392.414007750392,339.950755764939,0.303697975318021,-0.641800813559508,0.498867573431562,-39.8292025276579,-2.38961591654305,1.30113244625208
278.811599450227,342.150095696533,412.873916523018,363.492400203834,0.607507595108200,-0.641408558869444,0.498853567525748,-38.0188597951122,-4.91519387283796,3.05107649142202
261.798401961220,328.079403963484,434.511490833177,388.019983201161,0.910049281350352,-0.645351687874575,0.499313438690696,-33.6158343320821,-8.90774946740119,6.38790922864743
247.260928968040,316.261584406127,457.169493595292,413.358900095550,1.20261758496823,-0.660450705587019,0.499880099790529,-23.6815612044714,-23.0849066357105,13.0406972628512
235.633805188100,306.942500906381,480.712317199158,439.366657028730,1.49248732392391,-0.665963964311380,0.499374970006058,-21.9587089156192,-40.1036843197889,18.0543222930866
